,event_date,provider_account,total_price,total_price_usd,facebook-ads,google-ads,tiktok-ads,pinterest-ads,snapchat-ads,amazon
0,2022-01-02,beauty_shop_1,173954.530000000,173954.530000000,31846.090000000,3593.454221000,0,0,0,0
0,2022-01-03,beauty_shop_1,121306.460000000,121306.460000000,26763.070000000,3065.191590000,0,0,0,0
0,2022-01-04,beauty_shop_1,123855.430000000,123855.430000000,29146.160000000,4055.082771000,0,0,0,0
0,2022-01-05,beauty_shop_1,159204.160000000,159204.160000000,32020.690000000,3944.105033000,0,0,0,0
0,2022-01-06,beauty_shop_1,162325.690000000,162325.690000000,31756.350000000,4162.369325000,0,0,0,0
0,2022-01-07,beauty_shop_1,138916.370000000,138916.370000000,32311.060000000,4290.969641000,0,0,0,0
0,2022-01-08,beauty_shop_1,146588.200000000,146588.200000000,33086.760000000,4127.406892000,0,0,0,0
0,2022-01-09,beauty_shop_1,138756.540000000,138756.540000000,32670.500000000,4042.073130000,0,0,0,0
0,2022-01-10,beauty_shop_1,111574.590000000,111574.590000000,29905.840000000,3769.813811000,0,0,0,0
0,2022-01-11,beauty_shop_1,114250.090000000,114250.090000000,28203.890000000,5918.523440000,0,0,0,0
0,2022-01-12,beauty_shop_1,165968.540000000,165968.540000000,28209.870000000,3662.311424000,0,0,0,0
0,2022-01-13,beauty_shop_1,122702.680000000,122702.680000000,28926.180000000,4125.204819000,0,0,0,0
0,2022-01-14,beauty_shop_1,126225.420000000,126225.420000000,27730.270000000,4007.716316000,0,0,0,0
0,2022-01-15,beauty_shop_1,213790.150000000,213790.150000000,28223.180000000,4481.487868000,0,0,0,0
0,2022-01-16,beauty_shop_1,176990.310000000,176990.310000000,28328.210000000,4367.347985000,0,0,0,0
0,2022-01-17,beauty_shop_1,157100.510000000,157100.510000000,29565.020000000,4430.876390000,0,0,0,0
0,2022-01-18,beauty_shop_1,123113.340000000,123113.340000000,28803.500000000,4263.378149000,0,0,0,0
0,2022-01-19,beauty_shop_1,150781.380000000,150781.380000000,30074.580000000,4550.408625000,0,0,0,0
0,2022-01-20,beauty_shop_1,151551.370000000,151551.370000000,30466.950000000,4514.344262000,0,0,0,0
0,2022-01-21,beauty_shop_1,114408.960000000,114408.960000000,26377.320000000,3923.459746000,0,0,0,0
0,2022-01-22,beauty_shop_1,134705.870000000,134705.870000000,27220.780000000,4393.828911000,0,0,0,0
0,2022-01-23,beauty_shop_1,144609.690000000,144609.690000000,27976.990000000,4443.601214000,0,0,0,0
0,2022-01-24,beauty_shop_1,115630.140000000,115630.140000000,27379.130000000,4000.415462000,0,0,0,0
0,2022-01-25,beauty_shop_1,121003.820000000,121003.820000000,28455.510000000,3997.760319000,0,0,0,0
0,2022-01-26,beauty_shop_1,107375.080000000,107375.080000000,29896.910000000,3937.191053000,0,0,0,0
0,2022-01-27,beauty_shop_1,110127.140000000,110127.140000000,29272.530000000,4036.917669000,0,0,0,0
0,2022-01-28,beauty_shop_1,110414.130000000,110414.130000000,28989.690000000,4399.004418000,0,0,0,0
0,2022-01-29,beauty_shop_1,132499.510000000,132499.510000000,27694.170000000,4181.369194000,0,0,0,0
0,2022-01-30,beauty_shop_1,123372.280000000,123372.280000000,26503.210000000,4504.608128000,0,0,0,0
0,2022-01-31,beauty_shop_1,110559.820000000,110559.820000000,26279.750000000,3418.645849000,0,0,0,0
0,2022-02-01,beauty_shop_1,120160.440000000,120160.440000000,24496.580000000,4386.895248000,0,0,0,0
0,2022-02-02,beauty_shop_1,107678.220000000,107678.220000000,23919.540000000,3626.228725000,0,0,0,0
0,2022-02-03,beauty_shop_1,138610.900000000,138610.900000000,24346.760000000,4095.432813000,0,0,0,0
0,2022-02-04,beauty_shop_1,99619.780000000,99619.780000000,25546.450000000,3908.520189000,0,0,0,0
0,2022-02-05,beauty_shop_1,114800.880000000,114800.880000000,25177.670000000,3661.964819000,0,0,0,0
0,2022-02-06,beauty_shop_1,116318.740000000,116318.740000000,25219.830000000,4023.018649000,0,0,0,0
0,2022-02-07,beauty_shop_1,101111.000000000,101111.000000000,25230.950000000,3993.403028000,0,0,0,0
0,2022-02-08,beauty_shop_1,153645.130000000,153645.130000000,26473.520000000,4041.501058000,0,0,0,0
0,2022-02-09,beauty_shop_1,110876.780000000,110876.780000000,27827.060000000,3087.822793000,0,0,0,0
0,2022-02-10,beauty_shop_1,104005.010000000,104005.010000000,27629.930000000,3262.046798000,0,0,0,0
0,2022-02-11,beauty_shop_1,104189.940000000,104189.940000000,28021.570000000,3237.608651000,0,0,0,0
0,2022-02-12,beauty_shop_1,92759.310000000,92759.310000000,28664.420000000,3897.586932000,0,0,0,0
0,2022-02-13,beauty_shop_1,126369.400000000,126369.400000000,27428.520000000,3612.528017000,0,0,0,0
0,2022-02-14,beauty_shop_1,88557.110000000,88557.110000000,25984.410000000,3330.230368000,0,0,0,0
0,2022-02-15,beauty_shop_1,96686.740000000,96686.740000000,25413.020000000,3556.785614000,0,0,0,0
0,2022-02-16,beauty_shop_1,95502.160000000,95502.160000000,24553.170000000,3104.254441000,0,0,0,0
0,2022-02-17,beauty_shop_1,101154.380000000,101154.380000000,24341.030000000,4231.763632000,0,0,0,0
0,2022-02-18,beauty_shop_1,122832.390000000,122832.390000000,23171.090000000,2567.464974000,0,0,0,0
0,2022-02-19,beauty_shop_1,179447.580000000,179447.580000000,27719.580000000,3524.464164000,0,0,0,0
0,2022-02-20,beauty_shop_1,217208.340000000,217208.340000000,28429.700000000,3261.940665000,0,0,0,0
0,2022-02-21,beauty_shop_1,179936.410000000,179936.410000000,29823.480000000,3083.774837000,0,0,0,0
0,2022-02-22,beauty_shop_1,161182.390000000,161182.390000000,29482.530000000,2976.674546000,0,0,0,0
0,2022-02-23,beauty_shop_1,110596.650000000,110596.650000000,25498.390000000,3001.556047000,0,0,0,0
0,2022-02-24,beauty_shop_1,109854.750000000,109854.750000000,25089.240000000,3200.610930000,0,0,0,0
0,2022-02-25,beauty_shop_1,92404.120000000,92404.120000000,24189.550000000,2427.557198000,0,0,0,0
0,2022-02-26,beauty_shop_1,147117.080000000,147117.080000000,21379.420000000,3248.332963000,0,0,0,0
0,2022-02-27,beauty_shop_1,124425.830000000,124425.830000000,22227.210000000,2915.857984000,0,0,0,0
0,2022-02-28,beauty_shop_1,121988.410000000,121988.410000000,21383.350000000,2477.260871000,0,0,0,0
0,2022-03-01,beauty_shop_1,75685.340000000,75685.340000000,21565.080000000,3036.527488000,0,0,0,0
0,2022-03-02,beauty_shop_1,103602.280000000,103602.280000000,20791.150000000,2824.805507000,0,0,0,0
0,2022-03-03,beauty_shop_1,84135.180000000,84135.180000000,21726.880000000,2677.887097000,0,0,0,0
0,2022-03-04,beauty_shop_1,77596.290000000,77596.290000000,22050.250000000,2779.484244000,0,0,0,0
0,2022-03-05,beauty_shop_1,94709.610000000,94709.610000000,22044.440000000,3200.407383000,0,0,0,0
0,2022-03-06,beauty_shop_1,86440.970000000,86440.970000000,21339.230000000,2823.858428000,0,0,0,0
0,2022-03-07,beauty_shop_1,100818.430000000,100818.430000000,21441.900000000,2834.491906000,0,0,0,0
0,2022-03-08,beauty_shop_1,67828.170000000,67828.170000000,17082.740000000,3276.847675000,0,0,0,0
0,2022-03-09,beauty_shop_1,95798.330000000,95798.330000000,16015.360000000,2700.380017000,0,0,0,0
0,2022-03-10,beauty_shop_1,71474.160000000,71474.160000000,16057.300000000,2516.706427000,0,0,0,0
0,2022-03-11,beauty_shop_1,81539.540000000,81539.540000000,15316.280000000,2776.959748000,0,0,0,0
0,2022-03-12,beauty_shop_1,97949.450000000,97949.450000000,14687.240000000,3076.868244000,0,0,0,0
0,2022-03-13,beauty_shop_1,72998.100000000,72998.100000000,15332.870000000,3230.481496000,0,0,0,0
0,2022-03-14,beauty_shop_1,84729.950000000,84729.950000000,14435.970000000,2466.889740000,0,0,0,0
0,2022-03-15,beauty_shop_1,61549.870000000,61549.870000000,15724.690000000,2473.031635000,0,0,0,0
0,2022-03-16,beauty_shop_1,85980.360000000,85980.360000000,16470.960000000,2765.208589000,0,0,0,0
0,2022-03-17,beauty_shop_1,78507.930000000,78507.930000000,14798.300000000,2867.287838000,0,0,0,0
0,2022-03-18,beauty_shop_1,79033.620000000,79033.620000000,14879.950000000,2749.521223000,0,0,0,0
0,2022-03-19,beauty_shop_1,107603.620000000,107603.620000000,16449.970000000,2724.652050000,0,0,0,0
0,2022-03-20,beauty_shop_1,94591.100000000,94591.100000000,17397.270000000,2623.306841000,0,0,0,0
0,2022-03-21,beauty_shop_1,113564.220000000,113564.220000000,17020.090000000,2467.484989000,0,0,0,0
0,2022-03-22,beauty_shop_1,113701.260000000,113701.260000000,16872.020000000,2674.286111000,0,0,0,0
0,2022-03-23,beauty_shop_1,111530.930000000,111530.930000000,15757.290000000,2697.377249000,0,0,0,0
0,2022-03-24,beauty_shop_1,73176.170000000,73176.170000000,15382.330000000,2463.315651000,0,0,0,0
0,2022-03-25,beauty_shop_1,85933.200000000,85933.200000000,18224.220000000,2399.270280000,0,0,0,0
0,2022-03-26,beauty_shop_1,87677.670000000,87677.670000000,19272.780000000,2742.640691000,0,0,0,0
0,2022-03-27,beauty_shop_1,111895.990000000,111895.990000000,23086.420000000,2475.906828000,0,0,0,0
0,2022-03-28,beauty_shop_1,77910.950000000,77910.950000000,21485.680000000,2439.101746000,0,0,0,0
0,2022-03-29,beauty_shop_1,80958.890000000,80958.890000000,19591.820000000,2950.886560000,0,0,0,0
0,2022-03-30,beauty_shop_1,85189.730000000,85189.730000000,19340.130000000,3238.971065000,0,0,0,0
0,2022-03-31,beauty_shop_1,91242.470000000,91242.470000000,18390.990000000,2228.572566000,0,0,0,0
0,2022-04-01,beauty_shop_1,123649.550000000,123649.550000000,21429.050000000,2800.977444000,0,0,0,0
0,2022-04-02,beauty_shop_1,92158.330000000,92158.330000000,24714.020000000,3040.569607000,0,0,0,0
0,2022-04-03,beauty_shop_1,128043.190000000,128043.190000000,26934.390000000,2991.335513000,0,0,0,0
0,2022-04-04,beauty_shop_1,85084.740000000,85084.740000000,25034.100000000,3098.779670000,0,0,0,0
